date	symbol	interval	open	high	low	close	adjusted_close	volume
2023-08-20	BTC-USD.CC	d	26096.8612255	26260.680935384	26004.315299592	26189.58466866	26189.58466866	9036580420
2023-08-21	BTC-USD.CC	d	26188.690650819	26220.201684153	25846.087970277	26124.141253131	26124.141253131	13371557893
2023-08-22	BTC-USD.CC	d	26130.748016042	26135.508203291	25520.728490709	26031.656479448	26031.656479448	14503820706
2023-08-23	BTC-USD.CC	d	26040.473651602	26786.897605491	25804.99818653	26431.6399827	26431.6399827	16985265785
2023-08-24	BTC-USD.CC	d	26431.519892468	26554.909817377	25914.925558946	26162.372494951	26162.372494951	12871532023
2023-08-25	BTC-USD.CC	d	26163.680053674	26248.103427603	25786.812461627	26047.668851048	26047.668851048	12406045118
2023-08-26	BTC-USD.CC	d	26047.235239637	26107.38429058	25983.878273927	26008.462659668	26008.462659668	6034817316
2023-08-27	BTC-USD.CC	d	26008.241800829	26165.372438276	25965.097538995	26089.693471664	26089.693471664	6913768611
2023-08-28	BTC-USD.CC	d	26089.614922886	26198.579064448	25880.60024889	26106.150043965	26106.150043965	11002805166
2023-08-29	BTC-USD.CC	d	26102.485832003	28089.338027154	25912.628908675	27727.393009042	27727.393009042	29368391712
2023-08-30	BTC-USD.CC	d	27726.084034027	27760.159396604	27069.207424584	27297.265348321	27297.265348321	16343655235
2023-08-31	BTC-USD.CC	d	27301.929316805	27456.079001362	25752.929946929	25931.472893357	25931.472893357	20181001451
2023-09-01	BTC-USD.CC	d	25934.020806159	26125.869773721	25362.609128157	25800.724372608	25800.724372608	17202862221
2023-09-02	BTC-USD.CC	d	25800.90960911	25970.284489312	25753.093846938	25868.798140193	25868.798140193	10100387473
2023-09-03	BTC-USD.CC	d	25869.472792724	26087.149164751	25817.031798422	25969.567352632	25969.567352632	8962524523
2023-09-04	BTC-USD.CC	d	25968.170133466	26081.524605152	25657.025567294	25812.415268673	25812.415268673	10680635106
2023-09-05	BTC-USD.CC	d	25814.957807989	25858.37431252	25589.988585544	25779.981794985	25779.981794985	11094740040
2023-09-06	BTC-USD.CC	d	25783.930744879	25953.015656649	25404.359679913	25753.236258311	25753.236258311	12752705327
2023-09-07	BTC-USD.CC	d	25748.31200943	26409.303011092	25608.201595679	26240.19489212	26240.19489212	11088307100
2023-09-08	BTC-USD.CC	d	26245.208208078	26414.005974773	25677.47958069	25905.653751513	25905.653751513	10817356400
2023-09-09	BTC-USD.CC	d	25905.424912482	25921.976226367	25810.495089688	25895.678220958	25895.678220958	5481314132
2023-09-10	BTC-USD.CC	d	25895.209971434	25978.130167624	25640.261707721	25832.226246911	25832.226246911	7899553047
2023-09-11	BTC-USD.CC	d	25831.715500732	25883.947002717	24930.297494168	25162.655272248	25162.655272248	14600006467
2023-09-12	BTC-USD.CC	d	25160.657925189	26451.938497537	25133.078908691	25833.343060492	25833.343060492	18657279324
2023-09-13	BTC-USD.CC	d	25837.554963293	26376.113469393	25781.123727634	26228.324087514	26228.324087514	13072077070
2023-09-14	BTC-USD.CC	d	26228.277860325	26774.623356586	26171.451852288	26539.674442453	26539.674442453	13811359124
2023-09-15	BTC-USD.CC	d	26533.81883773	26840.497925222	26240.700625431	26608.693364912	26608.693364912	11479735788
2023-09-16	BTC-USD.CC	d	26606.198652257	26754.770183319	26473.890776573	26568.28128766	26568.28128766	7402031417
2023-09-17	BTC-USD.CC	d	26567.927583002	26617.997627579	26445.075125457	26534.18751685	26534.18751685	6774210670
2023-09-18	BTC-USD.CC	d	26532.994793799	27414.734259256	26415.515845751	26754.281037725	26754.281037725	15615339655
2023-09-19	BTC-USD.CC	d	26760.851005767	27488.763802195	26681.605774694	27211.117819724	27211.117819724	13807690550
2023-09-20	BTC-USD.CC	d	27210.22849154	27379.506073731	26864.082320066	27132.007340129	27132.007340129	13281116604
2023-09-21	BTC-USD.CC	d	27129.840020946	27152.938580224	26389.300285872	26567.632904403	26567.632904403	13371443708
2023-09-22	BTC-USD.CC	d	26564.056167761	26726.07803486	26495.532412736	26579.568637132	26579.568637132	10578746709
2023-09-23	BTC-USD.CC	d	26578.555927115	26634.185984848	26520.519830486	26579.38974056	26579.38974056	7404700301
2023-09-24	BTC-USD.CC	d	26579.373986071	26716.058462437	26221.050004588	26256.825786744	26256.825786744	8192867686
2023-09-25	BTC-USD.CC	d	26253.775299438	26421.508355599	26011.469615775	26298.479551175	26298.479551175	11997833257
2023-09-26	BTC-USD.CC	d	26294.758672741	26389.884784752	26090.71240284	26217.249335751	26217.249335751	9985498161
2023-09-27	BTC-USD.CC	d	26209.498349443	26817.842315276	26111.464381993	26352.717618909	26352.717618909	11718380997
2023-09-28	BTC-USD.CC	d	26355.812394562	27259.499223408	26327.321712436	27021.546764739	27021.546764739	14079002707
2023-09-29	BTC-USD.CC	d	27024.841713936	27225.938429917	26721.762796688	26911.721602766	26911.721602766	10396435377
2023-09-30	BTC-USD.CC	d	26911.689184717	27091.795507837	26888.967803715	26967.916301064	26967.916301064	5331172801
2023-10-01	BTC-USD.CC	d	26967.397433149	28047.237710027	26965.09429232	27983.750381785	27983.750381785	9503917434
2023-10-02	BTC-USD.CC	d	27976.799152029	28494.459638431	27347.787579633	27530.784889745	27530.784889745	19793041322
2023-10-03	BTC-USD.CC	d	27508.251818808	27667.192031153	27216.001322535	27429.979016663	27429.979016663	11407814187
2023-10-04	BTC-USD.CC	d	27429.074995009	27826.657948194	27248.106246556	27799.39409588	27799.39409588	11143355314
2023-10-05	BTC-USD.CC	d	27798.647127	28091.861237067	27375.601423825	27415.911982168	27415.911982168	11877253670
2023-10-06	BTC-USD.CC	d	27412.122423692	28252.537569907	27215.552446208	27946.596779929	27946.596779929	13492391599
2023-10-07	BTC-USD.CC	d	27946.781632977	28028.092086906	27870.423458053	27968.83887079	27968.83887079	6553044316
