date	symbol	interval	open	high	low	close	adjusted_close	volume
45307	BTC-USD.CC	d	42499.33754	43566.27492	42085.99603	43154.94423	43154.94423	24062872740
45306	BTC-USD.CC	d	41715.06653	43319.72118	41705.41833	42511.96772	42511.96772	22320220558
45305	BTC-USD.CC	d	42842.26367	43065.59885	41724.61372	41796.26961	41796.26961	17521429522
45304	BTC-USD.CC	d	42799.44649	43234.66178	42464.1432	42842.38219	42842.38219	20601860469
45303	BTC-USD.CC	d	46354.79319	46498.13482	41903.77075	42853.16666	42853.16666	43332698900
45302	BTC-USD.CC	d	46656.07308	48969.3714	45678.6454	46368.58538	46368.58538	45833734549
45301	BTC-USD.CC	d	46121.53982	47647.22099	44483.15086	46627.77911	46627.77911	50114613298
45300	BTC-USD.CC	d	46987.63874	47893.70101	45244.71515	46139.73037	46139.73037	39821290992
45299	BTC-USD.CC	d	43948.70696	47218.00113	43244.08161	46970.50231	46970.50231	42746192015
45298	BTC-USD.CC	d	43998.46424	44495.57147	43662.22863	43943.09723	43943.09723	19330573863
45297	BTC-USD.CC	d	44178.95461	44227.63131	43475.15643	43989.19409	43989.19409	16092503468
45296	BTC-USD.CC	d	44192.9787	44353.28586	42784.71827	44162.69163	44162.69163	32336029347
45295	BTC-USD.CC	d	42855.81476	44770.02341	42675.17401	44179.9217	44179.9217	30448091210
45294	BTC-USD.CC	d	44961.60319	45503.24179	40813.53487	42848.17564	42848.17564	46342323118
45293	BTC-USD.CC	d	44187.13904	45899.70635	44176.95044	44957.97005	44957.97005	39335274536
45292	BTC-USD.CC	d	42280.23528	44175.43605	42214.97675	44167.33021	44167.33021	18426978443
45291	BTC-USD.CC	d	42152.09845	42860.93739	41998.25535	42265.18565	42265.18565	16397498810
45290	BTC-USD.CC	d	42091.75264	42584.12364	41556.22599	42156.90115	42156.90115	16013925945
45289	BTC-USD.CC	d	42614.64389	43124.32586	41424.06064	42099.40281	42099.40281	26000021055
45288	BTC-USD.CC	d	43468.19806	43804.78142	42318.54886	42627.85353	42627.85353	22992093014
45287	BTC-USD.CC	d	42518.46853	43683.15981	42167.58349	43442.85456	43442.85456	25260941032
45286	BTC-USD.CC	d	43599.84759	43603.17544	41676.48997	42520.40151	42520.40151	30026850982
45285	BTC-USD.CC	d	43010.57292	43765.09214	42765.77114	43613.14208	43613.14208	21115795370
45284	BTC-USD.CC	d	43728.36599	43945.52156	42786.91786	43016.11762	43016.11762	18830554085
45283	BTC-USD.CC	d	44012.19863	44015.69864	43351.3557	43739.54214	43739.54214	13507796558
45282	BTC-USD.CC	d	43868.98642	44367.95577	43441.96795	43997.90141	43997.90141	21028503216
45281	BTC-USD.CC	d	43648.12493	44240.66913	43330.05265	43869.15086	43869.15086	22452766169
45280	BTC-USD.CC	d	42261.30014	44275.58751	42223.81786	43652.24867	43652.24867	27868908174
45279	BTC-USD.CC	d	42641.51021	43354.2966	41826.33515	42270.52614	42270.52614	23171001281
45278	BTC-USD.CC	d	41348.20209	42720.29713	40530.25852	42623.53833	42623.53833	25224642008
45277	BTC-USD.CC	d	42236.10834	42359.49612	41274.54352	41364.66592	41364.66592	16678702876
45276	BTC-USD.CC	d	41937.74097	42664.94514	41723.11347	42240.11908	42240.11908	14386729590
45275	BTC-USD.CC	d	43028.25069	43087.82377	41692.96804	41929.75839	41929.75839	19639442462
45274	BTC-USD.CC	d	42884.26269	43390.86037	41767.09054	43023.97197	43023.97197	25578530178
45273	BTC-USD.CC	d	41468.46586	43429.78062	40676.86816	42890.74073	42890.74073	26797884674
45272	BTC-USD.CC	d	41238.73339	42048.30378	40667.56185	41450.22219	41450.22219	24779520132
45271	BTC-USD.CC	d	43792.01786	43808.37306	40234.57833	41243.83331	41243.83331	40632672038
45270	BTC-USD.CC	d	43728.38348	44034.62497	43593.2838	43779.69729	43779.69729	13000481418
45269	BTC-USD.CC	d	44180.02094	44361.25735	43627.59718	43725.98581	43725.98581	17368210171
45268	BTC-USD.CC	d	43293.13495	44705.51501	43125.2951	44166.60064	44166.60064	24421116687
45267	BTC-USD.CC	d	43769.13107	44042.58802	42880.65013	43292.66424	43292.66424	27635760671
45266	BTC-USD.CC	d	44080.02425	44265.7704	43478.08132	43746.44536	43746.44536	29909761586
45265	BTC-USD.CC	d	41986.26435	44408.66574	41421.14739	44080.64795	44080.64795	36312154535
45264	BTC-USD.CC	d	39978.62865	42371.74944	39978.62865	41980.09948	41980.09948	39856129827
45263	BTC-USD.CC	d	39472.20747	40135.6049	39298.16552	39978.39182	39978.39182	15769696322
45262	BTC-USD.CC	d	38689.27862	39678.93729	38652.59568	39476.33328	39476.33328	15534035612
45261	BTC-USD.CC	d	37718.00963	38954.11043	37629.35891	38688.74836	38688.74836	23512784002
45260	BTC-USD.CC	d	37861.11888	38141.75355	37531.14163	37712.74777	37712.74777	18115982627
45259	BTC-USD.CC	d	37826.10552	38366.113	37612.63162	37858.49405	37858.49405	20728546658
45258	BTC-USD.CC	d	37247.99117	38368.47995	36891.08936	37831.08687	37831.08687	21696137014
45257	BTC-USD.CC	d	37454.19196	37559.35455	36750.1271	37254.16885	37254.16885	19002925720
45256	BTC-USD.CC	d	37796.82886	37820.30134	37162.74915	37479.12229	37479.12229	13744796068
45255	BTC-USD.CC	d	37721.41345	37892.42997	37617.41683	37796.79234	37796.79234	9099571165
45254	BTC-USD.CC	d	37296.31683	38415.3382	37261.60605	37720.28115	37720.28115	22922957823
45253	BTC-USD.CC	d	37420.43388	37643.91842	36923.86436	37289.62066	37289.62066	14214948217
45252	BTC-USD.CC	d	35756.55326	37856.97991	35670.97188	37432.33831	37432.33831	24397247860
45251	BTC-USD.CC	d	37469.15971	37631.13964	35813.81136	35813.81136	35813.81136	25172163756
45250	BTC-USD.CC	d	37374.07468	37756.81929	36882.53198	37476.95586	37476.95586	20888209068
45249	BTC-USD.CC	d	36585.7657	37509.35626	36414.59828	37386.54777	37386.54777	12915986553
45248	BTC-USD.CC	d	36625.37148	36839.28287	36233.31173	36585.70293	36585.70293	11886022717
45247	BTC-USD.CC	d	36164.8236	36704.4828	35901.23556	36596.68192	36596.68192	22445028430
45246	BTC-USD.CC	d	37879.97994	37934.6252	35545.47334	36154.76924	36154.76924	26007385366
45245	BTC-USD.CC	d	35548.11279	37964.89283	35383.78097	37880.58317	37880.58317	27365821679
45244	BTC-USD.CC	d	36491.78758	36753.35219	34948.50028	35537.64052	35537.64052	23857403554
45243	BTC-USD.CC	d	37070.30587	37405.1153	36399.60511	36502.35734	36502.35734	19057712790
45242	BTC-USD.CC	d	37133.99088	37227.69256	36779.11653	37054.52014	37054.52014	11545715999
45241	BTC-USD.CC	d	37310.07076	37407.09328	36773.66646	37138.05054	37138.05054	13924272142
45240	BTC-USD.CC	d	36702.25186	37493.8013	36362.75523	37313.96969	37313.96969	22711265155
45239	BTC-USD.CC	d	35633.63439	37926.2568	35592.10325	36693.12363	36693.12363	37762672382
45238	BTC-USD.CC	d	35419.47672	35994.41653	35147.80081	35655.27608	35655.27608	17295394918
45237	BTC-USD.CC	d	35047.79363	35892.41637	34545.8151	35443.56136	35443.56136	18834737789
45236	BTC-USD.CC	d	35044.78992	35286.02683	34765.36485	35037.36944	35037.36944	12693436420
45235	BTC-USD.CC	d	35090.01302	35340.33972	34594.24258	35049.35592	35049.35592	12412743996
45234	BTC-USD.CC	d	34736.32341	35256.03275	34616.69334	35082.19722	35082.19722	9561294264
45233	BTC-USD.CC	d	34942.47432	34942.47432	34133.43962	34732.32558	34732.32558	17158456701
45232	BTC-USD.CC	d	35441.57739	35919.8436	34401.57491	34938.2424	34938.2424	20998158544
45231	BTC-USD.CC	d	34657.27532	35527.93156	34170.69259	35437.25318	35437.25318	22446272005
45230	BTC-USD.CC	d	34500.07774	34719.25405	34083.30946	34667.77936	34667.77936	15758270810
45229	BTC-USD.CC	d	34531.74137	34843.9355	34110.97396	34502.36466	34502.36466	17184860315
45228	BTC-USD.CC	d	34089.37174	34743.26242	33947.56718	34538.48209	34538.48209	11160323986
45227	BTC-USD.CC	d	33907.72365	34399.38898	33874.80478	34089.57587	34089.57587	10160330825
45226	BTC-USD.CC	d	34156.50069	34238.21077	33416.88549	33909.79928	33909.79928	16418032871
45225	BTC-USD.CC	d	34504.28742	34832.90854	33762.32329	34156.64983	34156.64983	19427195376
45224	BTC-USD.CC	d	33916.04405	35133.75757	33709.11031	34502.82089	34502.82089	25254318008
45223	BTC-USD.CC	d	33077.30395	35150.4335	32880.76173	33901.52656	33901.52656	44934999645
45222	BTC-USD.CC	d	30140.68486	34370.43877	30097.82874	33086.23297	33086.23297	38363572311
45221	BTC-USD.CC	d	29918.65504	30199.43311	29720.31345	29993.89652	29993.89652	10446520040
45220	BTC-USD.CC	d	29683.38182	30287.48165	29481.75231	29918.41167	29918.41167	11541146996
45219	BTC-USD.CC	d	28732.81155	30104.08561	28601.67016	29682.94927	29682.94927	21536125230
45218	BTC-USD.CC	d	28332.41531	28892.47368	28177.98754	28719.80613	28719.80613	14448058195
45217	BTC-USD.CC	d	28413.53081	28889.00959	28174.25255	28328.34115	28328.34115	12724128586
45216	BTC-USD.CC	d	28522.09817	28618.75239	28110.18612	28415.74814	28415.74814	14872527508
45215	BTC-USD.CC	d	27162.62823	29448.13904	27130.47348	28519.46668	28519.46668	27833876539
45214	BTC-USD.CC	d	26858.01173	27289.17032	26817.89401	27159.65292	27159.65292	7098201980
45213	BTC-USD.CC	d	26866.20324	26968.99922	26814.58659	26861.7062	26861.7062	5388116782
45212	BTC-USD.CC	d	26752.87956	27092.69675	26686.32231	26862.37545	26862.37545	15165312851
45211	BTC-USD.CC	d	26873.29249	26921.4389	26558.32078	26756.79864	26756.79864	9392909295
45210	BTC-USD.CC	d	27392.07555	27474.11619	26561.09937	26873.32112	26873.32112	13648094333
45209	BTC-USD.CC	d	27589.2011	27715.84835	27301.65508	27391.01952	27391.01952	9973350678
45208	BTC-USD.CC	d	27934.47216	27989.4709	27302.56192	27583.67859	27583.67859	12007668568
45207	BTC-USD.CC	d	27971.67811	28102.17039	27740.66302	27935.08958	27935.08958	7916875290
45206	BTC-USD.CC	d	27946.78163	28028.09209	27870.42346	27968.83887	27968.83887	6553044316
45205	BTC-USD.CC	d	27412.12242	28252.53757	27215.55245	27946.59678	27946.59678	13492391599
45204	BTC-USD.CC	d	27798.64713	28091.86124	27375.60142	27415.91198	27415.91198	11877253670
45203	BTC-USD.CC	d	27429.075	27826.65795	27248.10625	27799.3941	27799.3941	11143355314
45202	BTC-USD.CC	d	27508.25182	27667.19203	27216.00132	27429.97902	27429.97902	11407814187
45201	BTC-USD.CC	d	27976.79915	28494.45964	27347.78758	27530.78489	27530.78489	19793041322
45200	BTC-USD.CC	d	26967.39743	28047.23771	26965.09429	27983.75038	27983.75038	9503917434
45199	BTC-USD.CC	d	26911.68918	27091.79551	26888.9678	26967.9163	26967.9163	5331172801
45198	BTC-USD.CC	d	27024.84171	27225.93843	26721.7628	26911.7216	26911.7216	10396435377
45197	BTC-USD.CC	d	26355.81239	27259.49922	26327.32171	27021.54676	27021.54676	14079002707
45196	BTC-USD.CC	d	26209.49835	26817.84232	26111.46438	26352.71762	26352.71762	11718380997
45195	BTC-USD.CC	d	26294.75867	26389.88478	26090.7124	26217.24934	26217.24934	9985498161
45194	BTC-USD.CC	d	26253.7753	26421.50836	26011.46962	26298.47955	26298.47955	11997833257
45193	BTC-USD.CC	d	26579.37399	26716.05846	26221.05	26256.82579	26256.82579	8192867686
45192	BTC-USD.CC	d	26578.55593	26634.18598	26520.51983	26579.38974	26579.38974	7404700301
45191	BTC-USD.CC	d	26564.05617	26726.07803	26495.53241	26579.56864	26579.56864	10578746709
45190	BTC-USD.CC	d	27129.84002	27152.93858	26389.30029	26567.6329	26567.6329	13371443708
45189	BTC-USD.CC	d	27210.22849	27379.50607	26864.08232	27132.00734	27132.00734	13281116604
45188	BTC-USD.CC	d	26760.85101	27488.7638	26681.60577	27211.11782	27211.11782	13807690550
45187	BTC-USD.CC	d	26532.99479	27414.73426	26415.51585	26754.28104	26754.28104	15615339655
45186	BTC-USD.CC	d	26567.92758	26617.99763	26445.07513	26534.18752	26534.18752	6774210670
45185	BTC-USD.CC	d	26606.19865	26754.77018	26473.89078	26568.28129	26568.28129	7402031417
45184	BTC-USD.CC	d	26533.81884	26840.49793	26240.70063	26608.69336	26608.69336	11479735788
45183	BTC-USD.CC	d	26228.27786	26774.62336	26171.45185	26539.67444	26539.67444	13811359124
45182	BTC-USD.CC	d	25837.55496	26376.11347	25781.12373	26228.32409	26228.32409	13072077070
45181	BTC-USD.CC	d	25160.65793	26451.9385	25133.07891	25833.34306	25833.34306	18657279324
45180	BTC-USD.CC	d	25831.7155	25883.947	24930.29749	25162.65527	25162.65527	14600006467
45179	BTC-USD.CC	d	25895.20997	25978.13017	25640.26171	25832.22625	25832.22625	7899553047
45178	BTC-USD.CC	d	25905.42491	25921.97623	25810.49509	25895.67822	25895.67822	5481314132
45177	BTC-USD.CC	d	26245.20821	26414.00597	25677.47958	25905.65375	25905.65375	10817356400
45176	BTC-USD.CC	d	25748.31201	26409.30301	25608.2016	26240.19489	26240.19489	11088307100
45175	BTC-USD.CC	d	25783.93074	25953.01566	25404.35968	25753.23626	25753.23626	12752705327
45174	BTC-USD.CC	d	25814.95781	25858.37431	25589.98859	25779.98179	25779.98179	11094740040
45173	BTC-USD.CC	d	25968.17013	26081.52461	25657.02557	25812.41527	25812.41527	10680635106
45172	BTC-USD.CC	d	25869.47279	26087.14916	25817.0318	25969.56735	25969.56735	8962524523
45171	BTC-USD.CC	d	25800.90961	25970.28449	25753.09385	25868.79814	25868.79814	10100387473
45170	BTC-USD.CC	d	25934.02081	26125.86977	25362.60913	25800.72437	25800.72437	17202862221
45169	BTC-USD.CC	d	27301.92932	27456.079	25752.92995	25931.47289	25931.47289	20181001451
45168	BTC-USD.CC	d	27726.08403	27760.1594	27069.20742	27297.26535	27297.26535	16343655235
45167	BTC-USD.CC	d	26102.48583	28089.33803	25912.62891	27727.39301	27727.39301	29368391712
45166	BTC-USD.CC	d	26089.61492	26198.57906	25880.60025	26106.15004	26106.15004	11002805166
45165	BTC-USD.CC	d	26008.2418	26165.37244	25965.09754	26089.69347	26089.69347	6913768611
45164	BTC-USD.CC	d	26047.23524	26107.38429	25983.87827	26008.46266	26008.46266	6034817316
45163	BTC-USD.CC	d	26163.68005	26248.10343	25786.81246	26047.66885	26047.66885	12406045118
45162	BTC-USD.CC	d	26431.51989	26554.90982	25914.92556	26162.37249	26162.37249	12871532023
45161	BTC-USD.CC	d	26040.47365	26786.89761	25804.99819	26431.63998	26431.63998	16985265785
45160	BTC-USD.CC	d	26130.74802	26135.5082	25520.72849	26031.65648	26031.65648	14503820706
45159	BTC-USD.CC	d	26188.69065	26220.20168	25846.08797	26124.14125	26124.14125	13371557893
45158	BTC-USD.CC	d	26096.86123	26260.68094	26004.3153	26189.58467	26189.58467	9036580420
